ID,adj.P.val,P.Value,t,B,logFC,Gene.Symbol,Gene.Function,,,
TC11001763.hg.1,1,0.008266,2.72,-2.5358,OR4A5,olfactory receptor, family 4, subfamily A, member 5,
TC02002044.hg.1,1,0.008512,-2.71,-2.5589,TMEM150A,transmembrane protein 150A,,,,
TC02002923.hg.1,1,0.008849,-2.69,-2.5894,MIR4440,microRNA 4440,,,,
TC0X000252.hg.1,1,0.009064,-2.69,-2.6081,PORCN,porcupine homolog (Drosophila),,,,
TC09001432.hg.1,1,0.009184,2.68,-2.6184,OR13C2,olfactory receptor, family 13, subfamily C, member 2,
TC15000734.hg.1,1,0.009263,-2.68,-2.6252,LOC646938,TBC1 domain family member 2B pseudogene,,,,
TC12000214.hg.1,1,0.009712,2.66,-2.6622,MIR3974,microRNA 3974,,,,
TC08002603.hg.1,1,0.009721,2.66,-2.6629,RRS1,RRS1 ribosome biogenesis regulator homolog (S. cerevisiae),,,,
TC01002612.hg.1,1,0.009908,-2.65,-2.6778,CCDC17,coiled-coil domain containing 17,,,,
TC17000649.hg.1,1,0.009995,-2.65,-2.6847,FLJ45513,uncharacterized LOC729220,,,,
TC19000679.hg.1,1,0.010233,-2.64,-2.7031,LOC100505681,uncharacterized LOC100505681,,,,
TC01002530.hg.1,1,0.010679,-2.62,-2.7364,FHL3,four and a half LIM domains 3,,,,
TC16001104.hg.1,1,0.010947,2.62,-2.7557,BRD7,bromodomain containing 7,,,,
TC02002225.hg.1,1,0.011179,2.61,-2.7721,MIR1302-3,microRNA 1302-3,,,,
TC22000334.hg.1,1,0.011241,-2.61,-2.7764,L3MBTL2,l(3)mbt-like 2 (Drosophila),,,,
TC03002165.hg.1,1,0.011388,2.6,-2.7865,CEP19,centrosomal protein 19kDa,,,,
TC03001043.hg.1,1,0.011422,2.6,-2.7888,MIR944,microRNA 944,,,,
TC19000794.hg.1,1,0.011423,-2.6,-2.7889,MIR643,microRNA 643,,,,
TC19001654.hg.1,1,0.011601,2.59,-2.801,MIR320E,microRNA 320e,,,,
TC12000687.hg.1,1,0.01163,2.59,-2.8029,NTS,neurotensin,,,,
TC04000912.hg.1,1,0.011903,2.58,-2.821,TLR3,toll-like receptor 3,,,,
TC06000652.hg.1,1,0.011976,2.58,-2.8257,IL17A,interleukin 17A,,,,
TC15001595.hg.1,1,0.012077,-2.58,-2.8323,MIR4312,microRNA 4312,,,,
TC12001553.hg.1,1,0.012211,-2.57,-2.8409,ATP5G2,ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C2 (subunit 9),
TC07003349.hg.1,1,0.012646,-2.56,-2.8681,DAGLB,diacylglycerol lipase, beta,,,
TC17000839.hg.1,1,0.012845,-2.55,-2.8802,ICT1,immature colon carcinoma transcript 1,,,,
TC19002690.hg.1,1,0.01291,-2.55,-2.8842,COPE,coatomer protein complex, subunit epsilon,,,
TC03000489.hg.1,1,0.012954,2.55,-2.8868,OR5K4,olfactory receptor, family 5, subfamily K, member 4,
TC07003305.hg.1,1,0.012981,2.55,-2.8884,ARHGEF35,Rho guanine nucleotide exchange factor (GEF) 35,,,,
TC04000727.hg.1,1,0.013149,2.55,-2.8984,LOC100505596,uncharacterized LOC100505596,,,,
TC05001767.hg.1,1,0.013201,-2.54,-2.9015,IRF1,interferon regulatory factor 1,,,,
TC05000928.hg.1,1,0.013407,2.54,-2.9135,CCDC99,coiled-coil domain containing 99,,,,
TC0X000121.hg.1,1,0.013442,2.54,-2.9156,SCARNA23,small Cajal body-specific RNA 23,,,,
TC06001034.hg.1,1,0.013917,-2.52,-2.9425,C6orf115,chromosome 6 open reading frame 115,,,,
TC07000164.hg.1,1,0.014675,2.5,-2.9836,C7orf71,chromosome 7 open reading frame 71,,,,
TC0X000423.hg.1,1,0.01506,-2.49,-3.0037,COX7B,cytochrome c oxidase subunit VIIb,,,,
TC03001159.hg.1,1,0.015083,-2.49,-3.0048,SEC13,SEC13 homolog (S. cerevisiae),,,,
TC10000183.hg.1,1,0.015165,-2.49,-3.0091,LINC00264,long intergenic non-protein coding RNA 264,,,,
TC17000252.hg.1,1,0.01526,-2.49,-3.0139,CCDC144C,coiled-coil domain containing 144C,,,,
TC11001509.hg.1,1,0.015354,2.49,-3.0186,LGR4,leucine-rich repeat containing G protein-coupled receptor 4,,,,
TC02002220.hg.1,1,0.015406,2.48,-3.0212,IL36B,interleukin 36, beta,,,
TC04000100.hg.1,1,0.015446,2.48,-3.0232,LOC100287404,ubiquitin carboxyl-terminal hydrolase 17-like,,,,
TC10001207.hg.1,1,0.015465,2.48,-3.0242,HNRNPA3P1,heterogeneous nuclear ribonucleoprotein A3 pseudogene 1,,,,
TC02001681.hg.1,1,0.015574,-2.48,-3.0296,MPV17,MpV17 mitochondrial inner membrane protein,,,,
TC17001563.hg.1,1,0.015786,-2.48,-3.0401,DUSP3,dual specificity phosphatase 3,,,,
TC14000972.hg.1,1,0.015871,-2.47,-3.0443,RABGGTA,Rab geranylgeranyltransferase, alpha subunit,,,
TC03000672.hg.1,1,0.015901,-2.47,-3.0457,EEFSEC,eukaryotic elongation factor, selenocysteine-tRNA-specific,,,
TC16000815.hg.1,1,0.01591,2.47,-3.0461,MTRNR2L4,MT-RNR2-like 4,,,,
TC12001734.hg.1,1,0.016283,2.46,-3.0641,LOC100507363,uncharacterized LOC100507363,,,,
TC19001361.hg.1,1,0.016499,2.46,-3.0742,ZNF99,zinc finger protein 99,,,,
TC19000069.hg.1,1,0.01659,-2.46,-3.0785,NFIC,nuclear factor I/C (CCAAT-binding transcription factor),,,,
TC03001984.hg.1,1,0.016753,2.45,-3.086,LRRC34,leucine rich repeat containing 34,,,,
TC6_qbl_hap6000196.hg.1,1,0.016798,-2.45,-3.0881,TAPBP,TAP binding protein (tapasin),,,,
TC20000530.hg.1,1,0.017025,-2.45,-3.0985,UCKL1-AS1,UCKL1 antisense RNA 1 (non-protein coding),,,,
TC09000109.hg.1,1,0.017095,2.44,-3.1016,DMRTA1,DMRT-like family A1,,,,
TC14000455.hg.1,1,0.017107,2.44,-3.1022,LIN52,lin-52 homolog (C. elegans),,,,
TC17001149.hg.1,1,0.017115,2.44,-3.1025,HS3ST3A1,heparan sulfate (glucosamine) 3-O-sulfotransferase 3A1,,,,
TC11002194.hg.1,1,0.017284,-2.44,-3.1101,C11orf75,chromosome 11 open reading frame 75,,,,
TC01003645.hg.1,1,0.017466,2.44,-3.1182,LOC100652834,uncharacterized LOC100652834,,,,
TC19001187.hg.1,1,0.017588,-2.43,-3.1236,ELOF1,elongation factor 1 homolog (S. cerevisiae),,,,
TC19000359.hg.1,1,0.017756,-2.43,-3.1309,C19orf50,chromosome 19 open reading frame 50,,,,
TC16001155.hg.1,1,0.018259,2.42,-3.1524,SNORA46,small nucleolar RNA, H/ACA box 46,,,
TC04000097.hg.1,1,0.018601,2.41,-3.1667,LOC100287205,ubiquitin carboxyl-terminal hydrolase 17-like,,,,
TC13000179.hg.1,1,0.018808,2.41,-3.1752,LRRC63,leucine rich repeat containing 63,,,,
TC06001208.hg.1,1,0.019036,2.4,-3.1845,HUS1B,HUS1 checkpoint homolog b (S. pombe),,,,
TC22000143.hg.1,1,0.019163,-2.4,-3.1896,LOC391322,D-dopachrome tautomerase-like,,,,
TC11000215.hg.1,1,0.019252,2.4,-3.1931,CALCB,calcitonin-related polypeptide beta,,,,
TC11000457.hg.1,1,0.019265,2.4,-3.1937,OR5AK2,olfactory receptor, family 5, subfamily AK, member 2,
TC07000930.hg.1,1,0.019404,-2.39,-3.1992,GSTK1,glutathione S-transferase kappa 1,,,,
TC6_cox_hap2000208.hg.1,1,0.01963,-2.39,-3.2081,TAPBP,TAP binding protein (tapasin),,,,
TC6_dbb_hap3000194.hg.1,1,0.01963,-2.39,-3.2081,TAPBP,TAP binding protein (tapasin),,,,
TC19001284.hg.1,1,0.019773,-2.39,-3.2137,KIAA1683,KIAA1683,,,,
TC09001126.hg.1,1,0.019839,2.39,-3.2163,LOC100126582,uncharacterized LOC100126582,,,,
TC0X001518.hg.1,1,0.019842,-2.39,-3.2163,IDH3G,isocitrate dehydrogenase 3 (NAD+) gamma,,,,
TC01004076.hg.1,1,0.019913,2.38,-3.2191,OR13G1,olfactory receptor, family 13, subfamily G, member 1,
TC0X001381.hg.1,1,0.019954,2.38,-3.2207,MIR363,microRNA 363,,,,
TC19000240.hg.1,1,0.020084,-2.38,-3.2257,C19orf53,chromosome 19 open reading frame 53,,,,
TC07000263.hg.1,1,0.020094,-2.38,-3.226,MIR3943,microRNA 3943,,,,
TC12000340.hg.1,1,0.020299,-2.38,-3.2338,SLC48A1,solute carrier family 48 (heme transporter), member 1,,,
TC07000937.hg.1,1,0.020397,-2.37,-3.2375,TAS2R60,taste receptor, type 2, member 60,,
TC13000105.hg.1,1,0.020565,2.37,-3.2438,B3GALTL,beta 1,3-galactosyltransferase-like,,,
TC6_dbb_hap3000220.hg.1,1,0.02099,-2.36,-3.2595,LY6G5B,lymphocyte antigen 6 complex, locus G5B,,,
TC6_mann_hap4000194.hg.1,1,0.02099,-2.36,-3.2595,LY6G5B,lymphocyte antigen 6 complex, locus G5B,,,
TC18000113.hg.1,1,0.021079,2.36,-3.2628,PSMA8,proteasome (prosome, macropain) subunit, alpha type,8,
TC06001439.hg.1,1,0.021307,2.36,-3.271,ZSCAN12,zinc finger and SCAN domain containing 12,,,,
TC09000689.hg.1,1,0.021332,-2.36,-3.2719,MIR2964A,microRNA 2964a,,,,
TC01002195.hg.1,1,0.02145,-2.35,-3.2761,SRM,spermidine synthase,,,,
TC06004075.hg.1,1,0.021597,-2.35,-3.2814,LY6G5B,lymphocyte antigen 6 complex, locus G5B,,,
TC22000466.hg.1,1,0.02172,2.35,-3.2857,XKR3,XK, Kell blood group complex subunit-related family, member 3,,
TC09000295.hg.1,1,0.021834,2.35,-3.2897,ANKRD20A4,ankyrin repeat domain 20 family, member A4,,,
TC06000737.hg.1,1,0.022077,2.34,-3.2982,CD109,CD109 molecule,,,,
TC6_qbl_hap6000223.hg.1,1,0.022098,-2.34,-3.299,LY6G5B,lymphocyte antigen 6 complex, locus G5B,,,
TC6_ssto_hap7000197.hg.1,1,0.022098,-2.34,-3.299,LY6G5B,lymphocyte antigen 6 complex, locus G5B,,,
TC05002121.hg.1,1,0.022115,2.34,-3.2995,GMCL1P1,germ cell-less homolog 1 (Drosophila) pseudogene 1,,,,
TC04001742.hg.1,1,0.022154,2.34,-3.3009,SCRG1,stimulator of chondrogenesis 1,,,,
TC16002087.hg.1,1,0.022176,-2.34,-3.3016,CTRL,chymotrypsin-like,,,,
TC18000060.hg.1,1,0.022179,-2.34,-3.3018,IMPA2,inositol(myo)-1(or 4)-monophosphatase 2,,,,
TC19000264.hg.1,1,0.022268,2.34,-3.3048,OR7C2,olfactory receptor, family 7, subfamily C, member 2,
TC19001589.hg.1,1,0.022292,-2.34,-3.3056,XRCC1,X-ray repair complementing defective repair in Chinese hamster cells 1,,,,
TC06000375.hg.1,1,0.022361,2.34,-3.308,SNORA38,small nucleolar RNA, H/ACA box 38,,,
TC6_cox_hap2000071.hg.1,1,0.022361,2.34,-3.308,SNORA38,small nucleolar RNA, H/ACA box 38,,,
TC6_mann_hap4000062.hg.1,1,0.022361,2.34,-3.308,SNORA38,small nucleolar RNA, H/ACA box 38,,,
TC6_qbl_hap6000062.hg.1,1,0.022361,2.34,-3.308,SNORA38,small nucleolar RNA, H/ACA box 38,,,
TC6_ssto_hap7000058.hg.1,1,0.022361,2.34,-3.308,SNORA38,small nucleolar RNA, H/ACA box 38,,,
TC05001102.hg.1,1,0.022378,-2.34,-3.3086,SLC12A7,solute carrier family 12 (potassium/chloride transporters), member 7,,,
TC17002870.hg.1,1,0.022684,-2.33,-3.319,CCDC144A,coiled-coil domain containing 144A,,,,
TC19000875.hg.1,1,0.022788,-2.33,-3.3225,RPS9,ribosomal protein S9,,,,
TC01003007.hg.1,1,0.022923,2.33,-3.327,BCL2L15,BCL2-like 15,,,,
TC6_mcf_hap5000183.hg.1,1,0.023081,-2.32,-3.3322,TAPBP,TAP binding protein (tapasin),,,,
TC02000736.hg.1,1,0.023086,-2.32,-3.3324,LOC440900,uncharacterized LOC440900,,,,
TC22000583.hg.1,1,0.02327,-2.32,-3.3385,GSTT1,glutathione S-transferase theta 1,,,,
TC6_cox_hap2000242.hg.1,1,0.023336,-2.32,-3.3406,LY6G5B,lymphocyte antigen 6 complex, locus G5B,,,
TC01002421.hg.1,1,0.023347,-2.32,-3.341,PTAFR,platelet-activating factor receptor,,,,
TC06000328.hg.1,1,0.023416,-2.32,-3.3433,HLA-A,major histocompatibility complex, class I, A,,
TC08001653.hg.1,1,0.023559,2.32,-3.3479,HPYR1,Helicobacter pylori responsive 1 (non-protein coding),,,,
TC15000856.hg.1,1,0.023687,-2.31,-3.3521,ZNF710,zinc finger protein 710,,,,
TC6_mcf_hap5000211.hg.1,1,0.023775,-2.31,-3.3549,LY6G5B,lymphocyte antigen 6 complex, locus G5B,,,
TC07000150.hg.1,1,0.023822,2.31,-3.3564,C7orf46,chromosome 7 open reading frame 46,,,,
TC18000389.hg.1,1,0.023859,2.31,-3.3576,CXADRP3,coxsackie virus and adenovirus receptor pseudogene 3,,,,
TC07000938.hg.1,1,0.023915,-2.31,-3.3594,TAS2R41,taste receptor, type 2, member 41,,
TC07000479.hg.1,1,0.023965,-2.31,-3.3609,MDH2,malate dehydrogenase 2, NAD (mitochondrial),,,
TC19000548.hg.1,1,0.024051,-2.31,-3.3637,TIMM50,translocase of inner mitochondrial membrane 50 homolog (S. cerevisiae),,,,
TC15000284.hg.1,1,0.024314,-2.3,-3.372,IVD,isovaleryl-CoA dehydrogenase,,,,
TC02001702.hg.1,1,0.024619,2.3,-3.3815,LOC100505774,uncharacterized LOC100505774,,,,
TC04000433.hg.1,1,0.024672,2.3,-3.3832,MRPL1,mitochondrial ribosomal protein L1,,,,
TC17001858.hg.1,1,0.02495,-2.29,-3.3917,CD300C,CD300c molecule,,,,
TC06000425.hg.1,1,0.024953,2.29,-3.3918,ZBTB9,zinc finger and BTB domain containing 9,,,,
TC22001465.hg.1,1,0.025077,-2.29,-3.3956,TRIOBP,TRIO and F-actin binding protein,,,,
TC19001643.hg.1,1,0.025285,-2.29,-3.4019,IGFL3,IGF-like family member 3,,,,
TC18000380.hg.1,1,0.025415,2.28,-3.4058,C18orf19,chromosome 18 open reading frame 19,,,,
TC09000851.hg.1,1,0.025447,-2.28,-3.4067,ARRDC1,arrestin domain containing 1,,,,
TC06001105.hg.1,1,0.025481,-2.28,-3.4078,LOC100505475,uncharacterized LOC100505475,,,,
TC20000762.hg.1,1,0.025595,-2.28,-3.4111,PLAGL2,pleiomorphic adenoma gene-like 2,,,,
TC06001471.hg.1,1,0.025689,2.28,-3.4139,LOC401242,uncharacterized LOC401242,,,,
TC6_apd_hap1000052.hg.1,1,0.025689,2.28,-3.4139,LOC401242,uncharacterized LOC401242,,,,
TC6_dbb_hap3000103.hg.1,1,0.025689,2.28,-3.4139,LOC401242,uncharacterized LOC401242,,,,
TC6_mann_hap4000092.hg.1,1,0.025689,2.28,-3.4139,LOC401242,uncharacterized LOC401242,,,,
TC6_qbl_hap6000105.hg.1,1,0.025689,2.28,-3.4139,LOC401242,uncharacterized LOC401242,,,,
TC17000390.hg.1,1,0.025689,2.28,-3.414,ZNF830,zinc finger protein 830,,,,
TC09000585.hg.1,1,0.026035,-2.27,-3.4241,C9orf91,chromosome 9 open reading frame 91,,,,
TC14000666.hg.1,1,0.026132,2.27,-3.427,SNORD113-2,small nucleolar RNA, C/D box 113-2,,,
TC16002046.hg.1,1,0.02617,-2.27,-3.4281,ITFG3,integrin alpha FG-GAP repeat containing 3,,,,
TC18000442.hg.1,1,0.026175,2.27,-3.4282,MCART2,mitochondrial carrier triple repeat 2,,,,
TC16002080.hg.1,1,0.026264,-2.27,-3.4308,EDC4,enhancer of mRNA decapping 4,,,,
TC01002821.hg.1,1,0.026306,2.27,-3.432,SSX2IP,synovial sarcoma, X breakpoint 2 interacting protein,,,
TC02001706.hg.1,1,0.026556,-2.27,-3.4392,C2orf71,chromosome 2 open reading frame 71,,,,
TC12001988.hg.1,1,0.026782,-2.26,-3.4457,SLC24A6,solute carrier family 24 (sodium/potassium/calcium exchanger), member 6,,,
TC06001770.hg.1,1,0.026789,2.26,-3.4458,ENPP5,ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative),,,,
TC11003499.hg.1,1,0.026823,-2.26,-3.4468,COX8A,cytochrome c oxidase subunit VIIIA (ubiquitous),,,,
TC07001408.hg.1,1,0.026859,-2.26,-3.4478,CHCHD2,coiled-coil-helix-coiled-coil-helix domain containing 2,,,,
TC19000845.hg.1,1,0.026896,2.26,-3.4489,MIR526A2,microRNA 526a-2,,,,
TC10000440.hg.1,1,0.026928,-2.26,-3.4498,SLC29A3,solute carrier family 29 (nucleoside transporters), member 3,,,
TC17000565.hg.1,1,0.026984,-2.26,-3.4514,TMUB2,transmembrane and ubiquitin-like domain containing 2,,,,
TC22000589.hg.1,1,0.027091,-2.26,-3.4544,C22orf13,chromosome 22 open reading frame 13,,,,
TC21000345.hg.1,1,0.027134,2.26,-3.4556,ADAMTS1,ADAM metallopeptidase with thrombospondin type 1 motif,1,,,
TC01000574.hg.1,1,0.027283,-2.26,-3.4597,AKR1A1,aldo-keto reductase family 1, member A1 (aldehyde reductase),,,
TC19000027.hg.1,1,0.027435,-2.25,-3.464,CNN2,calponin 2,,,,
TC12002061.hg.1,1,0.027483,-2.25,-3.4653,CAMKK2,calcium/calmodulin-dependent protein kinase kinase 2, beta,,,
TC17000379.hg.1,1,0.027504,2.25,-3.4659,LOC100506643,uncharacterized LOC100506643,,,,
TC01001812.hg.1,1,0.027647,2.25,-3.4698,RNU5F-1,RNA, U5F small nuclear 1,,,
TC0X001079.hg.1,1,0.027769,2.25,-3.4732,MTRNR2L10,MT-RNR2-like 10,,,,
TC06000795.hg.1,1,0.027799,-2.25,-3.474,PNRC1,proline-rich nuclear receptor coactivator 1,,,,
TC01001591.hg.1,1,0.027835,2.25,-3.475,C1orf21,chromosome 1 open reading frame 21,,,,
TC05000258.hg.1,1,0.027949,2.25,-3.4781,PART1,prostate androgen-regulated transcript 1 (non-protein coding),,,,
TC06000624.hg.1,1,0.028063,2.24,-3.4812,ENPP4,ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative),,,,
TC10000659.hg.1,1,0.028156,2.24,-3.4837,KIF11,kinesin family member 11,,,,
TC21000395.hg.1,1,0.028228,2.24,-3.4856,MIS18A,MIS18 kinetochore protein homolog A (S. pombe),,,,
TC04000593.hg.1,1,0.028265,2.24,-3.4866,MIR1973,microRNA 1973,,,,
TC03001227.hg.1,1,0.028641,2.24,-3.4966,SGOL1,shugoshin-like 1 (S. pombe),,,,
TC19000091.hg.1,1,0.028812,-2.23,-3.5012,TNFAIP8L1,tumor necrosis factor, alpha-induced protein 8-like 1,,,
TC12001785.hg.1,1,0.02891,2.23,-3.5037,TSPAN19,tetraspanin 19,,,,
TC01002511.hg.1,1,0.029009,-2.23,-3.5063,MRPS15,mitochondrial ribosomal protein S15,,,,
TC06000372.hg.1,1,0.029197,-2.23,-3.5112,LST1,leukocyte specific transcript 1,,,,
TC10001142.hg.1,1,0.02933,-2.23,-3.5147,LOC100507605,uncharacterized LOC100507605,,,,
TC04000101.hg.1,1,0.029433,2.22,-3.5173,LOC100287478,ubiquitin carboxyl-terminal hydrolase 17-like,,,,
TC15001832.hg.1,1,0.029458,2.22,-3.518,KIF7,kinesin family member 7,,,,
TC10001146.hg.1,1,0.029541,-2.22,-3.5201,MIR938,microRNA 938,,,,
TC13000876.hg.1,1,0.029562,-2.22,-3.5206,CARS2,cysteinyl-tRNA synthetase 2, mitochondrial (putative),,,
TC0X000624.hg.1,1,0.029572,-2.22,-3.5209,FAM45B,family with sequence similarity 45, member A pseudogene,,,
TC11000963.hg.1,1,0.029668,2.22,-3.5233,DYNC2H1,dynein, cytoplasmic 2, heavy chain 1,,
TC05000673.hg.1,1,0.029773,2.22,-3.526,MIR4461,microRNA 4461,,,,
TC01000147.hg.1,1,0.029897,-2.22,-3.5292,AGTRAP,angiotensin II receptor-associated protein,,,,
TC19001067.hg.1,1,0.029898,-2.22,-3.5292,C19orf10,chromosome 19 open reading frame 10,,,,
TC08001745.hg.1,1,0.029912,-2.22,-3.5296,DGAT1,diacylglycerol O-acyltransferase 1,,,,
TC07001393.hg.1,1,0.030033,2.22,-3.5326,HPVC1,human papillomavirus (type 18) E5 central sequence-like 1,,,,
TC15001576.hg.1,1,0.030203,-2.21,-3.5369,TIPIN,TIMELESS interacting protein,,,,
TC17000845.hg.1,1,0.030227,-2.21,-3.5375,SLC16A5,solute carrier family 16, member 5 (monocarboxylic acid transporter 6),,,
TC01003260.hg.1,1,0.030331,-2.21,-3.5401,S100A12,S100 calcium binding protein A12,,,,
TC19001792.hg.1,1,0.030401,2.21,-3.5418,ZNF615,zinc finger protein 615,,,,
TC02001015.hg.1,1,0.030456,-2.21,-3.5432,LOC285141,uncharacterized LOC285141,,,,
TC04001500.hg.1,1,0.030714,2.21,-3.5496,FABP2,fatty acid binding protein 2, intestinal,,,
TC06000377.hg.1,1,0.030808,-2.2,-3.5519,APOM,apolipoprotein M,,,,
TC14000703.hg.1,1,0.030861,2.2,-3.5532,SNORD114-23,small nucleolar RNA, C/D box 114-23,,,
TC18000144.hg.1,1,0.030928,-2.2,-3.5548,ZNF271,zinc finger protein 271,,,,
TC07000554.hg.1,1,0.03129,2.2,-3.5636,MIR4652,microRNA 4652,,,,
TC15000603.hg.1,1,0.031382,2.2,-3.5659,RNU5B-1,RNA, U5B small nuclear 1,,,
TC05000160.hg.1,1,0.031721,-2.19,-3.574,LOC100506406,uncharacterized LOC100506406,,,,
TC19001281.hg.1,1,0.031801,-2.19,-3.5759,IL12RB1,interleukin 12 receptor, beta 1,,,
TC02000173.hg.1,1,0.032043,-2.19,-3.5816,SNX17,sorting nexin 17,,,,
TC05000729.hg.1,1,0.032124,-2.19,-3.5835,TMCO6,transmembrane and coiled-coil domains 6,,,,
TC05001032.hg.1,1,0.032278,-2.19,-3.5871,RMND5B,required for meiotic nuclear division 5 homolog B (S. cerevisiae),,,,
TC04001651.hg.1,1,0.03231,2.18,-3.5879,TIGD4,tigger transposable element derived 4,,,,
TC01003702.hg.1,1,0.032598,2.18,-3.5946,UBE2T,ubiquitin-conjugating enzyme E2T (putative),,,,
TC14001066.hg.1,1,0.032634,2.18,-3.5954,LOC100288846,uncharacterized LOC100288846,,,,
TC12000070.hg.1,1,0.032643,-2.18,-3.5956,LOC100507560,uncharacterized LOC100507560,,,,
TC01001894.hg.1,1,0.032794,2.18,-3.5991,MIR4666,microRNA 4666,,,,
TC03000277.hg.1,1,0.032982,-2.18,-3.6034,ZNF589,zinc finger protein 589,,,,
TC05000373.hg.1,1,0.033169,-2.17,-3.6077,S100Z,S100 calcium binding protein Z,,,,
TC06004059.hg.1,1,0.033174,-2.17,-3.6078,HLA-C,major histocompatibility complex, class I, C,,
TC07000459.hg.1,1,0.033235,-2.17,-3.6092,NCF1,neutrophil cytosolic factor 1,,,,
TC0X001007.hg.1,1,0.033321,2.17,-3.6111,SSX3,synovial sarcoma, X breakpoint 3,,,
TC01002216.hg.1,1,0.033327,2.17,-3.6113,PRAMEF4,PRAME family member 4,,,,
TC06001506.hg.1,1,0.033353,-2.17,-3.6119,NRM,nurim (nuclear envelope membrane protein),,,,
TC6_apd_hap1000076.hg.1,1,0.033353,-2.17,-3.6119,NRM,nurim (nuclear envelope membrane protein),,,,
TC6_cox_hap2000140.hg.1,1,0.033353,-2.17,-3.6119,NRM,nurim (nuclear envelope membrane protein),,,,
TC6_dbb_hap3000129.hg.1,1,0.033353,-2.17,-3.6119,NRM,nurim (nuclear envelope membrane protein),,,,
TC6_mann_hap4000118.hg.1,1,0.033353,-2.17,-3.6119,NRM,nurim (nuclear envelope membrane protein),,,,
TC6_mcf_hap5000119.hg.1,1,0.033353,-2.17,-3.6119,NRM,nurim (nuclear envelope membrane protein),,,,
TC6_qbl_hap6000130.hg.1,1,0.033353,-2.17,-3.6119,NRM,nurim (nuclear envelope membrane protein),,,,
TC20000019.hg.1,1,0.03349,-2.17,-3.615,SIRPA,signal-regulatory protein alpha,,,,
TC17000719.hg.1,1,0.033671,-2.17,-3.619,SMG8,smg-8 homolog, nonsense mediated mRNA decay factor (C. elegans),,,
TC13000632.hg.1,1,0.033712,2.17,-3.6199,SNORA31,small nucleolar RNA, H/ACA box 31,,,
TC06001726.hg.1,1,0.033741,-2.17,-3.6206,MED20,mediator complex subunit 20,,,,
TC6_mcf_hap5000054.hg.1,1,0.03385,-2.17,-3.623,LST1,leukocyte specific transcript 1,,,,
TC22001489.hg.1,1,0.033856,-2.17,-3.6232,PISD,phosphatidylserine decarboxylase,,,,
