gene_name,gene_functionANP32A,acidic nuclear phosphoprotein 32 family member A
SCAMP1,secretory carrier membrane protein 1
CD74,CD74 molecule
COPA,coatomer protein complex subunit alpha
ONECUT2,one cut homeobox 2
TBC1D22B,TBC1 domain family member 22B
SIPA1L3,signal induced proliferation associated 1 like 3
KIF22,kinesin family member 22
RAB14,RAB14, member RAS oncogene family
AGPAT3,1-acylglycerol-3-phosphate O-acyltransferase 3
LNPEP,leucyl and cystinyl aminopeptidase
NDUFV3,NADH:ubiquinone oxidoreductase subunit V3
RUFY3,RUN and FYVE domain containing 3
SCAMP1,secretory carrier membrane protein 1
PPP2R5C,protein phosphatase 2 regulatory subunit B'gamma
C16orf72,chromosome 16 open reading frame 72
RAB5C,RAB5C, member RAS oncogene family
RBFOX2,RNA binding protein, fox-1 homolog 2
SLC9A3,solute carrier family 9 member A3
JMJD1C,jumonji domain containing 1C
PDPR,pyruvate dehydrogenase phosphatase regulatory subunit
GLP2R,glucagon like peptide 2 receptor
GGNBP2,gametogenetin binding protein 2
ZNF585B,zinc finger protein 585B
ARHGAP1,Rho GTPase activating protein 1
UBE2S,ubiquitin conjugating enzyme E2 S
UBE2S,ubiquitin conjugating enzyme E2 S
THOC2,THO complex 2
SULT2A1,sulfotransferase family 2A member 1
SYNRG,synergin, gamma
AURKAIP1,aurora kinase A interacting protein 1
BSG,basigin (Ok blood group)
ZFP36L2,ZFP36 ring finger protein like 2
PTGER4,prostaglandin E receptor 4
ALPI,alkaline phosphatase, intestinal
HCG18,HLA complex group 18 (non-protein coding)
HCG18,HLA complex group 18 (non-protein coding)
HCG18,HLA complex group 18 (non-protein coding)
HCG18,HLA complex group 18 (non-protein coding)
HCG18,HLA complex group 18 (non-protein coding)
HCG18,HLA complex group 18 (non-protein coding)
HCG18,HLA complex group 18 (non-protein coding)
RAB11B,RAB11B, member RAS oncogene family
SH3D19,SH3 domain containing 19
CDC14A,cell division cycle 14A
SNX21,sorting nexin family member 21
DOCK5,dedicator of cytokinesis 5
CDC42SE1,CDC42 small effector 1
RAB3GAP1,RAB3 GTPase activating protein catalytic subunit 1
PDLIM5,PDZ and LIM domain 5
RAD23B,RAD23 homolog B, nucleotide excision repair protein
THRAP3,thyroid hormone receptor associated protein 3
NUCB1,nucleobindin 1
MTMR1,myotubularin related protein 1
RASA2,RAS p21 protein activator 2
SLC2A13,solute carrier family 2 member 13
NTPCR,nucleoside-triphosphatase, cancer-related
VPS35,VPS35 retromer complex component
ZXDC,ZXD family zinc finger C
CCDC91,coiled-coil domain containing 91
RBM22,RNA binding motif protein 22
ZER1,zyg-11 related cell cycle regulator
MRPS11,mitochondrial ribosomal protein S11
CBFA2T2,CBFA2/RUNX1 translocation partner 2
ST6GAL1,ST6 beta-galactoside alpha-2,6-sialyltransferase 1
ZNF493,zinc finger protein 493
THAP3,THAP domain containing 3
SLITRK6,SLIT and NTRK like family member 6
CDC42SE1,CDC42 small effector 1
CELF1,CUGBP, Elav-like family member 1
NPC1L1,NPC1 like intracellular cholesterol transporter 1
PRADC1,protease associated domain containing 1
CNOT3,CCR4-NOT transcription complex subunit 3
GGT6,gamma-glutamyltransferase 6
NFKB2,nuclear factor kappa B subunit 2
EGLN1,egl-9 family hypoxia inducible factor 1
WDR6,WD repeat domain 6
POGZ,pogo transposable element with ZNF domain
SMS,spermine synthase
AGPAT3,1-acylglycerol-3-phosphate O-acyltransferase 3
ARHGDIA,Rho GDP dissociation inhibitor alpha
REL,REL proto-oncogene, NF-kB subunit
MGEA5,meningioma expressed antigen 5 (hyaluronidase)
HERC4,HECT and RLD domain containing E3 ubiquitin protein ligase 4
WDR60,WD repeat domain 60
DHTKD1,dehydrogenase E1 and transketolase domain containing 1
VAV3,vav guanine nucleotide exchange factor 3
EIF4E3,eukaryotic translation initiation factor 4E family member 3
ZNF91,zinc finger protein 91
MCL1,BCL2 family apoptosis regulator
RGS5,regulator of G-protein signaling 5
RGS5,regulator of G-protein signaling 5
HNRNPL,heterogeneous nuclear ribonucleoprotein L
SLC35A2,solute carrier family 35 member A2
ZNF24,zinc finger protein 24
LRCH3,leucine rich repeats and calponin homology domain containing 3
CELF2,CUGBP, Elav-like family member 2
EPB41L1,erythrocyte membrane protein band 4.1 like 1
SLC7A8,solute carrier family 7 member 8
RAD23B,RAD23 homolog B, nucleotide excision repair protein
BMPR2,bone morphogenetic protein receptor type 2
SATB2,SATB homeobox 2
MAPK14,mitogen-activated protein kinase 14
ARID1A,AT-rich interaction domain 1A
MAF,MAF bZIP transcription factor
TRAF4,TNF receptor associated factor 4
ATP7A,ATPase copper transporting alpha
PIWIL2,piwi like RNA-mediated gene silencing 2
SLC39A14,solute carrier family 39 member 14
LARP7,La ribonucleoprotein domain family member 7
TRAF3IP3,TRAF3 interacting protein 3
BGN,biglycan
AHCTF1,AT-hook containing transcription factor 1
FUT3,fucosyltransferase 3 (Lewis blood group)
RBMS3,RNA binding motif single stranded interacting protein 3
SEC61A1,Sec61 translocon alpha 1 subunit
ENO1,enolase 1
